equipmentGroupId,equipmentGroupShortName,equipmentGroupLongName,equipmentGroupDescription,companyId,equipmentClassId,isDeleted,createdTimestampUtc,createdByUserId,equipmentGroupColor,uuid
4393,"Light Plants - Auto Start - 851","Light Plants - Auto Start","Light Plants - Auto Start",265,0,0,"2026-07-15 20:18:26",45,NULL,6344456a-e315-45fb-bd65-40111c99150c
4394,"Excavator (Rubber-Tired) - 220","Excavator (Rubber-Tired)","Excavator (Rubber-Tired)",265,0,0,"2026-07-15 20:18:26",45,NULL,63d5406b-740f-4d1a-a6eb-981ca67079c7
4395,"Vehicle - Autos/SUVs - 974","Vehicle - Autos/SUVs","Vehicle - Autos/SUVs",265,0,0,"2026-07-15 20:18:26",45,NULL,39f2dcc8-e0b7-434f-a039-ec7fe1404bd0
4396,"Other Office Equipment - 87","Other Office Equipment","Other Office Equipment",265,0,0,"2026-07-15 20:18:26",45,NULL,102cb7b9-072f-4e3e-95a4-ef46076fba59
4397,"Water Truck (1000-2000 GAL) - 925","Water Truck (1000-2000 GAL)","Water Truck (1000-2000 GAL)",265,0,0,"2026-07-15 20:18:26",45,NULL,41c395de-a41f-41ef-b5a2-9923cba78611
4398,"Excavator 40,000-50,000# - 226","Excavator 40,000-50,000#","Excavator 40,000-50,000#",265,0,0,"2026-07-15 20:18:26",45,NULL,14df7ca7-d807-4357-b553-df9d87e84211
4399,"Forklift (8K & 10K) - 302","Forklift (8K & 10K)","Forklift (8K & 10K)",265,0,0,"2026-07-15 20:19:12",45,NULL,23e9998a-14e7-4f92-89cc-c7818d8f1ab0
4400,"Attach Skidsteer Bucket 98" - 267","Attach Skidsteer Bucket 98"","Attach Skidsteer Bucket 98"",265,0,0,"2026-07-15 20:19:12",45,NULL,ef0c262c-a0b3-4329-a732-5da6b1c12a3e
4401,"Pickup - 3/4 Ton (MY2023&Old) - 967","Pickup - 3/4 Ton (MY2023&Old)","Pickup - 3/4 Ton (MY2023&Old)",265,0,0,"2026-07-15 20:19:12",45,NULL,cd7fb845-6e4f-4cac-93d9-edc7ea2a0fc9
4402,"Boat Tug-200 HP - 465","Boat Tug-200 HP","Boat Tug-200 HP",265,0,0,"2026-07-15 20:19:12",45,NULL,aa0c51e5-a224-4d1b-9643-7f7e96f5b98e
4403,"Crane Crawler - 65 Ton - 120","Crane Crawler - 65 Ton","Crane Crawler - 65 Ton",265,0,0,"2026-07-15 20:19:12",45,NULL,3cc6270c-95cc-4709-94ea-12190ba36b2e
4404,"Pickup - 1/2 Ton (MY2023&Old) - 965","Pickup - 1/2 Ton (MY2023&Old)","Pickup - 1/2 Ton (MY2023&Old)",265,0,0,"2026-07-15 20:19:12",45,NULL,3f5d0ea2-5a96-4168-b4ec-5d1753a34d37
4405,"Attach Bucket ExtremeWear 55"+ - 247","Attach Bucket ExtremeWear 55"+","Attach Bucket ExtremeWear 55"+",265,0,0,"2026-07-15 20:19:13",45,NULL,8002f498-b4e8-47de-9e0e-34d3362f5e0a
4406,"Attach Slab Grabber - 255","Attach Slab Grabber","Attach Slab Grabber",265,0,0,"2026-07-15 20:19:13",45,NULL,58e9c213-da9c-484a-9f05-b043ea0c09a6
4407,"Desks and Tables - 75","Desks and Tables","Desks and Tables",265,0,0,"2026-07-15 20:19:13",45,NULL,e2f4a805-2d31-4a03-8e2b-2c9447ea9723
4408,"Trailer - Dump - 915","Trailer - Dump","Trailer - Dump",265,0,0,"2026-07-15 20:19:13",45,NULL,27071a9b-cf33-4ada-8d54-5ef003aada6e
4409,"Crane Crawler - 300 Ton - 150","Crane Crawler - 300 Ton","Crane Crawler - 300 Ton",265,0,0,"2026-07-15 20:19:13",45,NULL,10b324b3-0ad8-4e2b-a835-5ea9369d0c11
4410,"OPEN - 179",OPEN,OPEN,265,0,0,"2026-07-15 20:19:13",45,NULL,8e5a3eba-79d0-464e-92de-da6f389d543c
4411,"Generator (125KW) - 858","Generator (125KW)","Generator (125KW)",265,0,0,"2026-07-15 20:19:13",45,NULL,65dabc2b-04ba-41ae-877d-945a92cabef8
4412,"NOT CURRENTLY USED - 210","NOT CURRENTLY USED","NOT CURRENTLY USED",265,0,0,"2026-07-15 20:19:14",45,NULL,c4361547-8f08-4807-b8f5-1fe633369b55
4413,"Trailer - Tool Van - 908","Trailer - Tool Van","Trailer - Tool Van",265,0,0,"2026-07-15 20:19:14",45,NULL,fc8ea26b-db6d-4641-bf74-3cf048165e36
4414,"zCargo Containers - 918","zCargo Containers","zCargo Containers",265,0,0,"2026-07-15 20:19:14",45,NULL,8b0ceb57-fa10-4910-b21c-c7d08114ecc9
4415,"Crane Tele-Boom Crawler - 6T - 176","Crane Tele-Boom Crawler - 6T","Crane Tele-Boom Crawler - 6T",265,0,0,"2026-07-15 20:19:14",45,NULL,09c20d73-640a-4b7a-867d-0ca02ffc597f
4416,"Sweeper-3 Wheel Ride On - 279","Sweeper-3 Wheel Ride On","Sweeper-3 Wheel Ride On",265,0,0,"2026-07-15 20:19:14",45,NULL,276897a5-6b7d-4625-82d5-32b0fd6541a2
4417,"xHydraulic Pumps-Jacking Sys - 898","xHydraulic Pumps-Jacking Sys","xHydraulic Pumps-Jacking Sys",265,0,0,"2026-07-15 20:19:14",45,NULL,bea87678-3a61-47f7-8922-c89f681b6b56
4418,"Truck - Mechanic - 952","Truck - Mechanic","Truck - Mechanic",265,0,0,"2026-07-15 20:19:15",45,NULL,63c5825a-67ec-4464-846f-3c6e3e3e21df
4419,"Crane Crawler - 80 Ton - 125","Crane Crawler - 80 Ton","Crane Crawler - 80 Ton",265,0,0,"2026-07-15 20:19:15",45,NULL,4d2c5c8b-a173-4079-abf8-e4504eb5d265
4420,"OPEN - 326",OPEN,OPEN,265,0,0,"2026-07-15 20:19:15",45,NULL,5a64338d-9153-47e5-ae4e-7caf927c01a3
4421,"xConcrete Mixer - 610","xConcrete Mixer","xConcrete Mixer",265,0,0,"2026-07-15 20:19:15",45,NULL,0e2be1ce-07e6-4ee6-910d-939aa300efba
4422,"Skid Steer-Track CAT259/255 - 271","Skid Steer-Track CAT259/255","Skid Steer-Track CAT259/255",265,0,0,"2026-07-15 20:19:15",45,NULL,075f8555-7c72-4a4d-ac6d-5e50382c96a9
4423,"Crane Crawler - 50-60 Ton - 115","Crane Crawler - 50-60 Ton","Crane Crawler - 50-60 Ton",265,0,0,"2026-07-15 20:19:15",45,NULL,0b647444-6e4f-40de-91f1-9222e4f738cd
4424,"Heater Ground - 868","Heater Ground","Heater Ground",265,0,0,"2026-07-15 20:19:16",45,NULL,51608f85-a910-4236-8008-3550a308039a
4425,"Pile Hammers Diesel (D12) - 360","Pile Hammers Diesel (D12)","Pile Hammers Diesel (D12)",265,0,0,"2026-07-15 20:19:16",45,NULL,07ebce32-2fb8-4391-bcff-c8609024560b
4426,"Skid Steer-Track CAT 299/275 - 269","Skid Steer-Track CAT 299/275","Skid Steer-Track CAT 299/275",265,0,0,"2026-07-15 20:19:16",45,NULL,814d598a-7424-4c68-b5e9-437cdba4f9af
4427,"OPEN - 205",OPEN,OPEN,265,0,0,"2026-07-15 20:19:16",45,NULL,2ec202b2-425c-4fdf-82c7-460ad9bc2ebe
4428,"Trailer - Equip 14,000# - 917","Trailer - Equip 14,000#","Trailer - Equip 14,000#",265,0,0,"2026-07-15 20:19:16",45,NULL,40031443-2ec0-488b-a2ec-88a4c5899290
4429,"Pickup - 1/2 Ton (MY2024+) - 960","Pickup - 1/2 Ton (MY2024+)","Pickup - 1/2 Ton (MY2024+)",265,0,0,"2026-07-15 20:19:16",45,NULL,0314e402-ac75-427f-b1bb-2895ba208b5b
