laborCodeId,jobId,createdTimestampUtc,laborCode,description,note,accountingCode,estimatingCode,isActive,jobRegularChargeRatePerHour,jobOvertimeChargeRatePerHour,jobDoubleTimeChargeRatePerHour,uuid
1320,NULL,NULL,002/AP.SP,"OPERATOR APPRENTICE",NULL,SP,NULL,1,NULL,NULL,NULL,83e9bdce-a089-47f3-92b8-1e8fd715bbb6
1321,NULL,NULL,006.ASP,"Laborer Apprentice Special",NULL,ASP,NULL,1,NULL,NULL,NULL,5de77f58-82e2-4766-9ac4-410b486dcd49
1322,NULL,NULL,006.FM,"LABORER FM",NULL,FM,NULL,1,NULL,NULL,NULL,14008278-700a-47c7-b8d3-dada6da419e2
1323,NULL,NULL,006.FM2,"Laborer Foreman",NULL,FM2,NULL,1,NULL,NULL,NULL,f19c92e3-ee52-4273-8b5a-e84ac0d66e9e
1324,NULL,NULL,006.FM3,"Laborer Foreman",NULL,FM3,NULL,1,NULL,NULL,NULL,93f050e7-da1a-455b-8328-a6d1ea60dbdc
1325,NULL,NULL,006.FM7,"Laborer Foreman",NULL,FM7,NULL,1,NULL,NULL,NULL,67a059c4-ef79-4090-9d45-0e54daa9bed3
1326,NULL,NULL,006.FM4,"Laborer Foreman",NULL,FM4,NULL,1,NULL,NULL,NULL,313e0fe9-1242-43d6-84e4-cbfc739f0281
1327,NULL,NULL,006.SP,"Laborer Special Rate Night",NULL,SP,NULL,1,NULL,NULL,NULL,1568bb44-3b21-49a4-8f3e-56b26afd1d50
1328,NULL,NULL,006.FM8,"Laborer Foreman Special Rate",NULL,FM8,NULL,1,NULL,NULL,NULL,ff95e9b8-62fe-48b8-b934-cc5f1febaa5e
1329,NULL,NULL,006.FM9,"Laborer Foreman Special Rate",NULL,FM9,NULL,1,NULL,NULL,NULL,79f15f26-0372-498b-99f1-569994ffde7e
1330,NULL,NULL,006.FM6,"Laborer Foreman",NULL,FM6,NULL,1,NULL,NULL,NULL,05f6a7a8-68ba-4112-aff5-6d9366217575
1331,NULL,NULL,006.SP1,"Laborer Special Rate",NULL,SP1,NULL,1,NULL,NULL,NULL,091aadf6-966b-41b8-80e5-018a8102e1e8
1332,NULL,NULL,006.SP2,"Laborer Special Rate",NULL,SP2,NULL,1,NULL,NULL,NULL,9277a3ec-6804-46ff-bcb4-034c8ab7e3ee
1333,NULL,NULL,006.FM1,"Laborer Foreman",NULL,FM1,NULL,1,NULL,NULL,NULL,48d3bf4f-8d21-4550-8076-bedef86c2df0
1334,NULL,NULL,006.SP10,"Laborer Special Rate",NULL,SP10,NULL,1,NULL,NULL,NULL,7ef4e744-1e6b-4ccf-8339-efb658c531ef
1335,NULL,NULL,006.LB,"Laborer Journeyman",NULL,LB,NULL,1,NULL,NULL,NULL,019456e2-c88e-4692-bbf8-dbd73aa88bb6
1336,NULL,NULL,006.SP11,"Laborer Special Rate",NULL,SP11,NULL,1,NULL,NULL,NULL,965f5670-a702-471c-82bc-c835322ea919
1337,NULL,NULL,006.SP5,"Laborer FM8 nigh rate",NULL,SP5,NULL,1,NULL,NULL,NULL,eb88a813-2bf3-4dba-8682-90256726084f
1338,NULL,NULL,006.SP3,"Laborer Special Rate",NULL,SP3,NULL,1,NULL,NULL,NULL,9c485df3-e8c4-480e-b304-fe6c49eefaff
1339,NULL,NULL,006.FM5,"Laborer Foreman",NULL,FM5,NULL,1,NULL,NULL,NULL,2ba8cc90-fae4-43ab-9462-c09b686168bf
1340,NULL,NULL,006.SP13,"Laborer Special Rate",NULL,SP13,NULL,1,NULL,NULL,NULL,bbde9ee8-25c4-42e9-9a25-dcf4f43e2f05
1341,NULL,NULL,006.SP7,"Laborer Special Rate",NULL,SP7,NULL,1,NULL,NULL,NULL,e090d5d6-a4a0-45b8-9795-bf3fdf79928f
1342,NULL,NULL,006.SP4,"Laborer FM1 Night rate",NULL,SP4,NULL,1,NULL,NULL,NULL,dfbeb963-65f4-4342-a8b4-f50719e702a6
1343,NULL,NULL,006.SP6,"Laborer SP1 Night Rate",NULL,SP6,NULL,1,NULL,NULL,NULL,8ac5becf-074e-4671-8fa7-5799a81a3352
1344,NULL,NULL,006.SP8,"Laborer Special Rate",NULL,SP8,NULL,1,NULL,NULL,NULL,b6605b0d-e29b-4c44-9a40-291f20cdff4a
1345,NULL,NULL,006.SP9,"Laborer Special Rate",NULL,SP9,NULL,1,NULL,NULL,NULL,03b5fa23-9731-403f-a7e1-290fac9db553
1346,NULL,NULL,006/BD.ASP,"Laborer Appr Special Rate",NULL,ASP,NULL,1,NULL,NULL,NULL,5778fddc-4a05-45e2-8110-d3c37219192f
1347,NULL,NULL,006/BD.FM,"LABORER FM",NULL,FM,NULL,1,NULL,NULL,NULL,5f72d91c-15b3-4ad3-85c0-dbedd2ae7267
1348,NULL,NULL,006/BD.FM1,"Laborer Foreman",NULL,FM1,NULL,1,NULL,NULL,NULL,171f1eea-27bb-4514-a107-2d58343ea4a7
1349,NULL,NULL,006/BD.FM2,"Laborer Foreman",NULL,FM2,NULL,1,NULL,NULL,NULL,3287ba7b-ff9b-45ae-9c92-cf83e7957438
1350,NULL,NULL,006/BD.FM15,"Laborer Foreman special Rate",NULL,FM15,NULL,1,NULL,NULL,NULL,b2f6d8aa-a85f-4c7f-91ed-c5eedc9fc742
1351,NULL,NULL,006/BD.FM6,"Laborer Foreman Special Rate",NULL,FM6,NULL,1,NULL,NULL,NULL,a65d8f1b-fe78-4f2e-9b25-24caff1317d5
1352,NULL,NULL,006/BD.FM3,"Laborer Foreman",NULL,FM3,NULL,1,NULL,NULL,NULL,dfd32c0b-d911-4f65-8791-7eb76c09e293
1353,NULL,NULL,006/BD.FM5,"Laborer Foreman",NULL,FM5,NULL,1,NULL,NULL,NULL,4a70dfd4-939b-4916-80d7-21029545cb86
1354,NULL,NULL,006/BD.LB,Laborer,NULL,LB,NULL,1,NULL,NULL,NULL,25141ae6-d8dd-426e-8561-4c133c4bd285
1355,NULL,NULL,006/BD.SP11,"Laborer Special Rate",NULL,SP11,NULL,1,NULL,NULL,NULL,58c8b548-ad23-4e0f-93c1-32cd32742779
1356,NULL,NULL,006/BD.SP,"LABORER SPECIAL",NULL,SP,NULL,1,NULL,NULL,NULL,ec131ad7-1408-45df-82d2-7777959c17dd
1357,NULL,NULL,006/BD.SP13,"LABORER SPECIAL",NULL,SP13,NULL,1,NULL,NULL,NULL,eca078fe-fa07-4ce1-ada5-a4098816d63b
1358,NULL,NULL,006/BD.FMSF,"Laborer Foreman Special Rate",NULL,FMSF,NULL,1,NULL,NULL,NULL,8da823e1-d9f5-4715-803e-fade265ee3ec
1359,NULL,NULL,006/BD.SP9,"LABORER SPECIAL",NULL,SP9,NULL,1,NULL,NULL,NULL,f27b342e-cd76-4d82-9ba5-35f2929d5dce
1360,NULL,NULL,006/BD.SP1,"LABORER SPECIAL",NULL,SP1,NULL,1,NULL,NULL,NULL,a8003246-cbb2-4198-863c-f687e045768b
1361,NULL,NULL,007.A95,"Ironworker Apprentice 95%",NULL,A95,NULL,1,NULL,NULL,NULL,5c9c346d-7291-40d0-b0cf-208ccce0e646
1362,NULL,NULL,007.A65,"Ironworker Apprentice 65%",NULL,A65,NULL,1,NULL,NULL,NULL,5cbcfbe1-ad6b-4933-9849-3579df93e702
1363,NULL,NULL,006/BD.SP8,"LABORER SPECIAL",NULL,SP8,NULL,1,NULL,NULL,NULL,c4880c48-ca84-40f7-9e21-db02a9537a8f
1364,NULL,NULL,007.A90,"Ironworker Apprentice 90%",NULL,A90,NULL,1,NULL,NULL,NULL,bf7f0b4a-a0d1-4fd1-8696-59f1e4cb7603
1365,NULL,NULL,006/BD.FM7,"Laborer Foreman",NULL,FM7,NULL,1,NULL,NULL,NULL,edb62392-f2ae-4b5a-8146-070cff36248d
1366,NULL,NULL,007.A80,"Ironworker Apprentice 80%",NULL,A80,NULL,1,NULL,NULL,NULL,3c76b559-ff78-41b5-8811-32a16e9f0204
1367,NULL,NULL,007.ASP,"Ironworker Appr 60%r Spec Rate",NULL,ASP,NULL,1,NULL,NULL,NULL,acd32454-4e88-4c88-a0ed-aae38e8298fd
1368,NULL,NULL,007.A60,"Ironworker Apprentice 60%",NULL,A60,NULL,1,NULL,NULL,NULL,14e3728d-6e1b-46b1-96ec-430d8d0a9585
1369,NULL,NULL,007.FM2,"Ironworker Foreman Special MN",NULL,FM2,NULL,1,NULL,NULL,NULL,8e99fec2-1621-403c-9f8c-00d560faa048
1370,NULL,NULL,006/BD.LBSP,"Laborer Special Rate",NULL,LBSP,NULL,1,NULL,NULL,NULL,12654e32-93ba-4bf7-a8fc-d813b9a05721
1371,NULL,NULL,006/BD.SP10,"LABORER SPECIAL",NULL,SP10,NULL,1,NULL,NULL,NULL,e607b8b3-2132-4d58-a744-1e0d1ad51c60
1372,NULL,NULL,006/BD.XSP,"Laborer Special Rate salaried",NULL,XSP,NULL,1,NULL,NULL,NULL,7e75eed3-af4a-4dfc-a60d-c866fd0f054c
1373,NULL,NULL,007.A70,"Ironworker Apprentice 70%",NULL,A70,NULL,1,NULL,NULL,NULL,73375e83-a6b2-4163-ba1f-b7301fa9d34d
1374,NULL,NULL,006/BD.FM8,"Laborer FM Special Rate",NULL,FM8,NULL,1,NULL,NULL,NULL,9906190b-74ee-4084-8083-ffebf59a0c92
1375,NULL,NULL,006/BD.FM4,"Laborer Foreman",NULL,FM4,NULL,1,NULL,NULL,NULL,fee6d185-e3f6-4bed-90c4-f5455ccb9f33
1376,NULL,NULL,007.FM,"Ironworker Foreman",NULL,FM,NULL,1,NULL,NULL,NULL,7651862e-cfd5-4718-8b63-04ff2ba59bfc
1377,NULL,NULL,007.A75,"Ironworker Apprentice 75%",NULL,A75,NULL,1,NULL,NULL,NULL,0c27c5ad-b77c-4686-97f7-611ec601cab9
1378,NULL,NULL,007.FMSP,"Ironworker FM - 512 rate",NULL,FMSP,NULL,1,NULL,NULL,NULL,acfe2218-134a-4590-b24d-fdb1d4093272
1379,NULL,NULL,007.FM6,"Ironworker Foreman Spec Rate",NULL,FM6,NULL,1,NULL,NULL,NULL,8e54c40b-58c8-4fe4-be2a-0b0ac0b0df47
1380,NULL,NULL,007.FM3,"IronworkerForeman Special Rate",NULL,FM3,NULL,1,NULL,NULL,NULL,01ae4655-aef5-4fa4-9d80-75f1cd1143db
1381,NULL,NULL,007.SP5,"Ironworker Special Rate",NULL,SP5,NULL,1,NULL,NULL,NULL,bbfb1c1f-b736-4b2e-ae0f-df0721958f02
1382,NULL,NULL,007.FMST,"Ironworker Foreman",NULL,FMST,NULL,1,NULL,NULL,NULL,dcf6442d-8da5-4c78-993a-584bf7edb4d3
1383,NULL,NULL,007.SP9,"Ironworker Special Rate",NULL,SP9,NULL,1,NULL,NULL,NULL,92984ac5-dea3-44f1-9df0-4126aa116bc6
1384,NULL,NULL,007.SP4,"Ironworker Special Rate",NULL,SP4,NULL,1,NULL,NULL,NULL,f96dd3b8-9f55-4334-982b-87bd3a025468
1385,NULL,NULL,007.SP8,"Ironworker Special Rate",NULL,SP8,NULL,1,NULL,NULL,NULL,004a1009-d745-4845-bd7f-f089b8d33bac
1386,NULL,NULL,007.SP1,"Ironworker Special Rate",NULL,SP1,NULL,1,NULL,NULL,NULL,bb7e4424-7532-4f57-84bf-5198a097d6d3
1387,NULL,NULL,020.ASP,"Laborer Apprentice Special Rat",NULL,ASP,NULL,1,NULL,NULL,NULL,b2f6b0fc-5dbe-4236-82d6-6c3ae9260e96
1388,NULL,NULL,020.FM2,"Laborer Foreman",NULL,FM2,NULL,1,NULL,NULL,NULL,1c0d7783-1b37-4904-ac34-0cffc2adf577
1389,NULL,NULL,020.FM4,"Laborer Foreman",NULL,FM4,NULL,1,NULL,NULL,NULL,e8fbd2e1-387f-4fa2-94a6-a4a8c6d4a98c
1390,NULL,NULL,020.FM1,"Laborer Foreman",NULL,FM1,NULL,1,NULL,NULL,NULL,605b0ea4-821b-4b18-921b-a9942a4ec01a
