equipmentCodeId,jobId,createdTimestampUtc,createdByUserId,equipmentCode,description,accountingCode,estimatingCode,jobOperatorLaborCodeId,isActive,jobChargeRatePerHour,uuid
2906,NULL,NULL,45,567100,"CAT 336 EXCAVATOR",1O,NULL,NULL,1,NULL,430d45e9-db49-4d81-abe7-a30a6b1ede19
2907,NULL,NULL,45,567200,"CAT 320 EXCAVATOR",1O,NULL,NULL,1,NULL,e3ec5072-2259-417b-b866-52babb75fac9
2908,NULL,NULL,45,567900,"CAT259/255 TRACK SKIDSTEER (On RPO) Wagner",1O,NULL,NULL,1,NULL,5123e987-a543-476d-aadc-7f4d1b7fe5e1
2909,NULL,NULL,45,567600,"CAT352 EXCAVATOR (On RPO) Wagner-was R-504692",1O,NULL,NULL,1,NULL,7a6e24c9-ba3a-43db-a231-98cfe7597120
2910,NULL,NULL,45,567000,"CAT D6 DOZER",1O,NULL,NULL,1,NULL,1ab0094e-1198-41a8-89b8-412992d335f3
2911,NULL,NULL,45,R-000861,"MANITOWOC MLC165 (Purchased 06/11/25 NOW #1191)",1M,NULL,NULL,1,NULL,abaf6ea4-21ad-405e-9c62-3762d4eef2d1
2912,NULL,NULL,45,R-000R83,"HAMM H12I VIBRATORY COMPACTOR (Performance)",1O,NULL,NULL,1,NULL,3c9bea78-ea86-4513-8edc-5148ba92d5f9
2913,NULL,NULL,45,R-00E144,"CAT330 CL EXCAVATOR (Performance)",1M,NULL,NULL,1,NULL,910eb782-c2ce-4cd3-a82a-5ad78bc4d02a
2914,NULL,NULL,45,R-009242,"XCMG 958U LOADER #WL34 (Ready Dig/MTC)",1M,NULL,NULL,1,NULL,805cabdb-ff5f-479a-8c1c-3cbca57c4de9
2915,NULL,NULL,45,R-00D121,"JOHN DEERE 850L DOZER (Performance)",1M,NULL,NULL,1,NULL,1394bb61-0143-4e7c-a57d-39e91144a664
2916,NULL,NULL,45,R-000R63,"VOLVO SD130 84" VIB COMPACTOR (performance)",1M,NULL,NULL,1,NULL,e509e8e9-a633-4575-b9f2-17d51999562d
